WORD	ORIG	RATIO=B2/SUM(B:B)*11451419
搧	16700	7098
例	16688	7093
粒	16688	7093
利	16687	7092
力	16687	7092
立	16687	7092
莉	16686	7092
曆	16680	7090
歷	16680	7090
非	16547	7033
飛	16547	7033
妃	16540	7030
約	16521	7022
神	16515	7019
李	16472	7001
理	16472	7001
禮	16472	7001
哩	16471	7001
里	16471	7001
鋰	16471	7001
曾	16429	6983
龍	16354	6951
隆	16353	6951
海	16293	6925
木	16275	6917
目	16274	6917
管	16260	6911
館	16259	6911
偶	16151	6865
妳	16127	6854
才	16087	6837
漲	16001	6801
長	16001	6801
墓	16000	6800
掌	16000	6800
煽	16000	6800
定	15983	6793
入	15873	6747
永	15825	6726
飆	15806	6718
標	15805	6718
債	15790	6711
楊	15521	6597
羊	15521	6597
洋	15520	6596
陽	15520	6596
揚	15519	6596
方	15482	6580
芳	15481	6580
建	15457	6570
受	15452	6568
售	15452	6568
瘦	15452	6568
獻	15437	6561
限	15437	6561
陷	15437	6561
現	15436	6561
線	15436	6561
縣	15436	6561
壽	15400	6545
授	15400	6545
獸	15400	6545
劉	15360	6528
連	15258	6485
聯	15257	6485
蓮	15250	6482
廉	15200	6460
憐	15200	6460
簾	15200	6460
院	15170	6448
撕	15168	6447
司	15167	6446
思	15167	6446
斯	15167	6446
私	15167	6446
絲	15167	6446
問	15158	6443
均	15067	6404
亮	15063	6402
晾	15062	6402
輛	15062	6402
量	15062	6402
樑	15061	6401
次	15061	6401
涼	15061	6401
糧	15061	6401
良	15061	6401
梁	15060	6401
凍	14987	6370
動	14987	6370
洞	14987	6370
棟	14900	6333
局	14884	6326
中	14865	6318
亦	14787	6285
意	14786	6284
液	14786	6284
義	14786	6284
一	14785	6284
易	14785	6284
乘	14757	6272
呈	14756	6272
城	14756	6272
成	14756	6272
承	14756	6272
橙	14756	6272
盛	14756	6272
誠	14756	6272
板	14738	6264
的	14727	6259
程	14700	6248
同	14414	6126
應	14295	6076
櫻	14294	6075
英	14294	6075
鷹	14294	6075
相	14229	6048
香	14229	6048
箱	14228	6047
鄉	14228	6047
鑲	14228	6047
認	14198	6035
星	14154	6016
份	14142	6011
分	14141	6010
太	14141	6010
面	14101	5993
任	14100	5993
糞	14100	5993
麵	14100	5993
展	14057	5975
像	14000	5950
向	14000	5950
奮	14000	5950
嬰	14000	5950
巷	14000	5950
忿	14000	5950
憤	14000	5950
相	13999	5950
項	13999	5950
象	13998	5950
亞	13956	5932
雅	13956	5932
啞	13955	5931
福	13944	5927
仍	13938	5924
先	13930	5921
據	13929	5920
具	13920	5916
掀	13920	5916
聚	13920	5916
劇	13919	5916
句	13919	5916
鮮	13919	5916
勿	13898	5907
誤	13898	5907
物	13897	5907
喔	13867	5894
種	13812	5871
腫	13811	5870
塚	13800	5865
啦	13707	5826
揣	13695	5821
除	13690	5819
體	13657	5805
幾	13540	5755
擠	13540	5755
以	13539	5754
已	13539	5754
開	13522	5747
己	13500	5738
脊	13500	5738
手	13457	5720
轉	13358	5678
團	13222	5620
鄭	13152	5590
跟	13122	5577
根	13121	5577
志	13099	5567
通	13064	5553
重	13021	5534
乙	13000	5525
倚	13000	5525
椅	13000	5525
矣	13000	5525
蟻	13000	5525
許	12804	5442
雄	12788	5435
按	12760	5423
熊	12756	5422
強	12736	5413
牆	12735	5413
噓	12567	5341
虛	12567	5341
需	12567	5341
須	12567	5341
智	12545	5332
女	12543	5331
榮	12526	5324
列	12496	5311
北	12495	5311
含	12464	5298
場	12386	5264
廠	12386	5264
檔	12381	5262
政	12364	5255
花	12344	5247
敞	12300	5228
華	12300	5228
關	12287	5222
飾	12233	5199
觀	12231	5199
休	12208	5189
修	12208	5189
藤	12162	5169
沒	12161	5169
馬	12160	5168
務	12123	5153
瑞	12051	5122
暗	12000	5100
案	12000	5100
羞	12000	5100
謝	11989	5096
提	11963	5085
羅	11946	5077
電	11913	5063
咬	11906	5060
費	11896	5056
守	11887	5052
凱	11870	5045
楷	11869	5045
吸	11723	4983
攜	11723	4983
稀	11723	4983
西	11723	4983
嘻	11722	4982
希	11700	4973
溪	11700	4973
膝	11700	4973
製	11622	4940
基	11597	4929
蔡	11511	4893
季	11450	4867
寄	11450	4867
暨	11450	4867
繼	11450	4867
計	11450	4867
記	11450	4867
劑	11449	4866
技	11449	4866
既	11449	4866
紀	11449	4866
際	11449	4866
妓	11440	4862
忌	11440	4862
濟	11440	4862
繫	11440	4862
題	11431	4859
係	11423	4855
飽	11399	4845
保	11398	4844
槍	11398	4844
腔	11397	4844
堡	11390	4841
寶	11390	4841
景	11348	4823
共	11347	4823
笨	11251	4782
剪	11247	4780
撿	11247	4780
減	11247	4780
廣	11223	4770
一	11207	4763
咦	11207	4763
閒	11205	4762
檢	11200	4760
簡	11200	4760
路	11183	4753
錄	11183	4753
露	11182	4753
鹿	11182	4753
氯	11180	4752
陸	11172	4748
延	11148	4738
沿	11147	4738
會	11130	4731
匯	11129	4730
繪	11129	4730
嚴	11100	4718
遺	11100	4718
顏	11100	4718
送	11068	4704
世	11044	4694
儀	11000	4675
姨	11000	4675
宜	11000	4675
怡	11000	4675
疑	11000	4675
移	11000	4675
論	10958	4657
輕	10930	4646
清	10929	4645
青	10929	4645
砍	10891	4629
康	10864	4618
產	10852	4612
超	10778	4581
抄	10777	4581
灣	10730	4561
實	10678	4538
嫁	10677	4538
架	10677	4538
駕	10677	4538
價	10676	4538
失	10648	4526
濕	10648	4526
師	10647	4525
施	10647	4525
詩	10647	4525
風	10636	4521
慢	10633	4519
頭	10589	4501
將	10570	4493
苳	10570	4493
僵	10566	4491
姜	10566	4491
江	10566	4491
漿	10566	4491
薑	10566	4491
惠	10404	4422
慧	10404	4422
談	10398	4419
找	10361	4404
淑	10354	4401
滿	10250	4357
白	10221	4344
石	10186	4329
仁	10171	4323
付	10171	4323
負	10171	4323
赴	10171	4323
附	10171	4323
副	10170	4323
婦	10170	4323
富	10170	4323
父	10170	4323
腹	10170	4323
複	10170	4323
覆	10170	4323
率	10146	4312
令	10126	4304
另	10126	4304
款	10101	4293
傅	10100	4293
供	10069	4280
稱	10031	4263
買	10019	4258
拆	10002	4251
和	10000	4250
何	9999	4250
合	9999	4250
核	9999	4250
河	9999	4250
盒	9999	4250
騙	9985	4244
片	9984	4244
遍	9984	4244
老	9973	4239
雙	9956	4232
霜	9955	4231
權	9947	4228
快	9914	4214
葉	9901	4208
影	9841	4183
馱	9823	4175
